metric,value
service_date,"(datetime.date(2026, 4, 30), frozenset({'3197', '3909', '3282', '2663', '512', '3937', '4676', '4692', '2734', '5223', '3456', '2327', '3903', '4155', '3455', '1817', '4400', '1082', '2185', '4180', '93', '442', '4225', '2693', '1254', '4108', '1951', '3338', '1816', '4274', '5306', '1132', '246', '1499', '2909', '1160', '3502', '514', '5266', '2574', '1401', '2228', '430', '2841', '2708', '2379', '3137', '4156', '1755', '4657', '4483', '4650', '991', '636', '357', '343', '5011', '9', '631', '1800', '2607', '2255', '3814', '3332', '618', '2160', '537', '446', '911', '3303', '1170', '2380', '4699', '3881', '2391', '1516', '4813', '1821', '564', '820', '2871', '4232', '2728', '3285', '2497', '480', '3264', '1676', '3785', '3546', '1780', '885', '5275', '5172', '1072', '3990', '1991', '1790', '3636', '3822', '2419', '616', '1245', '1317', '2616', '3603', '1843', '2919', '4208', '5198', '3810', '4595', '1689', '3616', '2352', '3843', '5194', '4914', '4862', '1410', '2959', '1114', '3877', '3199', '3086', '3183', '1785', '131', '3853', '240', '2933', '542', '686', '1361', '3716', '1905', '2679', '140', '4235', '4047', '2206', '4394', '2540', '3237', '2410', '3065', '1069', '4764', '1459', '2231', '4037', '4647', '2126', '2017', '3126', '2059', '680', '800', '1787', '4173', '2948', '1202', '722', '159', '2617', '1655', '4799', '406', '2060', '2732', '1282', '4636', '3325', '4900', '5230', '2655', '3069', '3186', '3904', '3055', '1754', '1795', '2740', '4189', '1523', '87', '739', '4930', '641', '916', '39', '4731', '746', '4609', '1470', '180', '3752', '5280', '2553', '640', '3955', '711', '1353', '2991', '4849', '4603', '4537', '2061', '1068', '1210', '2257', '429', '2854', '3795', '3290', '3682', '128', '5290', '4741', '451', '693', '4605', '4410', '2691', '1013', '4249', '3671', '900', '743', '312', '437', '3018', '632', '5112', '3803', '4616', '4100', '544', '3351', '1853', '5213', '4724', '3144', '91', '233', '3873', '4317', '717', '1865', '5006', '2303', '814', '2092', '2262', '5225', '4046', '4247', '2161', '1268', '1593', '4470', '956', '5176', '2329', '3335', '3132', '99', '2924', '1452', '2802', '5228', '533', '3745', '4434', '119', '4133', '5179', '2706', '1241', '2887', '2800', '4984', '1237', '2537', '5215', '232', '2539', '989', '4859', '4340', '5349', '582', '2005', '646', '4003', '1158', '4567', '623', '2932', '2122', '882', '4170', '5202', '2852', '4683', '1374', '1585', '358', '4509', '1581', '4798', '243', '4382', '601', '3152', '269', '935', '1319', '2440', '599', '88', '4947', '1382', '4732', '3403', '1638', '1505', '678', '4298', '4539', '487', '3660', '3515', '2704', '3572', '4319', '129', '987', '1849', '1032', '1728', '4227', '2584', '4248', '4795', '2198', '4481', '995', '5343', '4349', '1145', '3021', '4648', '4210', '1024', '3002', '31', '3561', '4696', '4120', '3861', '529', '4902', '2030', '1264', '4717', '4638', '3176', '516', '3658', '881', '1672', '3511', '4841', '3261', '3143', '3984', '5096', '454', '3244', '1306', '2349', '3878', '1046', '200', '2781', '3485', '4305', '3425', '4341', '4112', '229', '946', '2390', '4726', '4473', '5109', '5049', '4729', '4956', '5278', '4973', '481', '1324', '3102', '5222', '2965', '2148', '4566', '4871', '1973', '3578', '3413', '1434', '5363', '5031', '2770', '3354', '2468', '4388', '3445', '2726', '225', '197', '3426', '1472', '4105', '759', '3518', '5270', '1363', '2037', '4135', '20', '390', '4348', '4190', '1207', '5108', '700', '5229', '235', '1460', '4736', '3796', '1952', '2073', '4017', '1230', '5106', '976', '3012', '1195', '1903', '4727', '2331', '2177', '409', '3308', '1218', '238', '2967', '416', '4080', '4242', '1017', '145', '4773', '3874', '3177', '4333', '331', '2695', '3765', '485', '4144', '4875', '4398', '1984', '3892', '4572', '2983', '3253', '1987', '1480', '763', '2526', '472', '596', '1253', '2368', '2106', '3714', '3138', '2456', '5045', '2112', '3392', '1349', '846', '5164', '4739', '1563', '1060', '1770', '2179', '1580', '4078', '1652', '5224', '3414', '1617', '4504', '4529', '2420', '3905', '3819', '3384', '4641', '2312', '4830', '3474', '1359', '267', '4957', '5339', '559', '1328', '1112', '2690', '598', '2276', '3358', '4524', '3242', '4952', '5316', '4684', '5374', '4066', '4551', '3350', '4188', '2765', '3969', '917', '860', '4890', '3344', '5174', '1220', '2735', '3855', '4013', '4733', '761', '2792', '2024', '2598', '2521', '187', '2201', '1243', '4556', '3059', '1978', '532', '1825', '3047', '3967', '3444', '1392', '5081', '2153', '5231', '1368', '2992', '4991', '4391', '1129', '5301', '3472', '3725', '2047', '5044', '2123', '1630', '2151', '875', '5317', '1356', '2434', '1327', '427', '3124', '5375', '4718', '1233', '1836', '5312', '2128', '2640', '5180', '3704', '2238', '158', '3667', '4052', '3760', '842', '2613', '2666', '4601', '1411', '1937', '2797', '5116', '2119', '1408', '4898', '1445', '1747', '3933', '1337', '2253', '1425', '2643', '5062', '4792', '34', '4204', '3816', '3195', '3380', '1685', '682', '5366', '3625', '1567', '1623', '2641', '3771', '4936', '1309', '4358', '2619', '3521', '927', '4591', '2566', '3060', '4926', '2346', '178', '4796', '30', '3326', '3880', '3483', '1263', '3721', '609', '633', '2958', '1813', '4787', '4804', '2627', '5240', '3998', '3215', '1698', '3339', '4642', '4658', '2940', '3848', '5285', '4574', '921', '500', '1714', '4067', '5250', '3657', '4767', '864', '2385', '4212', '3212', '1390', '2365', '2939', '4694', '5186', '2661', '1362', '4869', '3185', '3623', '1769', '3975', '2599', '3895', '3942', '3361', '2248', '3057', '1774', '1167', '2881', '888', '4462', '3431', '2264', '5153', '905', '4329', '4919', '3920', '2618', '1045', '1228', '4316', '4310', '1375', '5369', '3283', '2743', '2799', '4299', '2579', '1378', '3178', '3910', '724', '764', '1906', '149', '4953', '3973', '2888', '5150', '234', '4376', '2278', '1507', '692', '3470', '4618', '3038', '3160', '701', '5063', '5313', '610', '2308', '4131', '1305', '5197', '1026', '1395', '5196', '2109', '4177', '1124', '14', '1665', '3676', '3573', '3513', '4821', '103', '3693', '3703', '4883', '3145', '4548', '4040', '2741', '1767', '3555', '4275', '4336', '3644', '5251', '2362', '3317', '5234', '4436', '360', '3312', '1920', '581', '1896', '5058', '1708', '1664', '567', '468', '3284', '2517', '4202', '839', '1910', '2367', '4437', '2588', '3262', '121', '1094', '3011', '4431', '1077', '5355', '2197', '2633', '1926', '3096', '1734', '4465', '3164', '566', '2914', '2659', '592', '4868', '643', '4541', '3436', '4369', '2400', '3467', '3504', '2158', '2211', '1878', '1185', '289', '3976', '3534', '2866', '4622', '5021', '1354', '5263', '1705', '4959', '4832', '4757', '1517', '5252', '5255', '3150', '1476', '1303', '375', '3758', '2408', '1128', '736', '396', '2411', '4558', '1918', '3028', '2872', '1510', '2323', '2129', '1074', '181', '352', '3209', '2727', '4', '2988', '1635', '244', '3597', '645', '5077', '230', '2700', '2603', '3692', '1703', '2115', '3594', '4132', '2357', '96', '4300', '4917', '2480', '3043', '2026', '4461', '4674', '2439', '5326', '3613', '2573', '1008', '3091', '281', '604', '3872', '3061', '156', '2031', '3486', '1458', '3886', '3868', '540', '3239', '637', '147', '5288', '1544', '1212', '3717', '3610', '5065', '1437', '2662', '3897', '3229', '1071', '1240', '2045', '4815', '3807', '2764', '4138', '3005', '1504', '3373', '556', '1171', '1929', '261', '5340', '2853', '3876', '4146', '1677', '502', '1148', '4125', '3820', '2896', '3046', '3356', '950', '2384', '46', '3119', '1', '5246', '3443', '2806', '5291', '2725', '2097', '702', '4772', '660', '3732', '5356', '4725', '1609', '1140', '2910', '148', '897', '4848', '3446', '5093', '1792', '2227', '2630', '2424', '428', '2260', '3611', '4089', '3826', '4889', '3080', '3448', '4677', '490', '1259', '401', '2879', '1634', '3547', '515', '3310', '4250', '5259', '22', '3846', '3320', '1345', '929', '4262', '1943', '285', '3265', '2714', '990', '2773', '4289', '3323', '3683', '4963', '3085', '2559', '3737', '4700', '471', '2268', '4107', '1509', '284', '1442', '4459', '4576', '4196', '4347', '4222', '2208', '696', '3923', '2054', '2902', '5014', '1081', '26', '1950', '2296', '3530', '4631', '1778', '1830', '1299', '1371', '5124', '4835', '4185', '1009', '934', '688', '1912', '188', '2625', '118', '3054', '2654', '2102', '2523', '175', '5128', '5347', '5168', '605', '4962', '2445', '2994', '295', '697', '1743', '2935', '1109', '463', '1837', '157', '3142', '2745', '5308', '4544', '1249', '4110', '2990', '1620', '492', '40', '1863', '2787', '3266', '2489', '4716', '2746', '349', '3314', '3464', '1147', '1223', '5061', '2780', '2405', '3466', '1684', '435', '4489', '306', '3575', '5284', '1690', '1805', '325', '477', '3733', '3978', '521', '3458', '4407', '1380', '5329', '2192', '3075', '2889', '1192', '3', '2266', '2998', '1542', '5026', '2235', '1428', '4355', '1643', '1177', '4139', '4789', '5362', '5073', '5167', '4734', '169', '3522', '2581', '3684', '1777', '5007', '5025', '4940', '5351', '4123', '5187', '5315', '38', '452', '4624', '1547', '2511', '7', '3322', '5328', '1797', '4276', '3686', '5217', '4109', '458', '5232', '5154', '86', '1574', '185', '2671', '4928', '1695', '302', '1870', '1075', '4695', '1636', '24', '996', '3549', '241', '1691', '3438', '2803', '959', '4763', '1089', '655', '66', '3565', '1818', '4705', '217', '5376', '942', '2302', '2242', '5177', '795', '3812', '1880', '1740', '798', '124', '2893', '939', '1039', '4056', '803', '4540', '2088', '5372', '5110', '561', '2495', '2834', '4406', '5143', '3517', '2993', '4157', '403', '3593', '2010', '2999', '2490', '383', '3711', '2494', '4035', '3581', '4072', '2577', '1028', '5030', '2322', '2649', '1637', '1257', '58', '1473', '716', '5102', '4207', '1486', '1975', '5320', '1650', '5377', '2318', '4243', '4001', '2762', '827', '3274', '1775', '3840', '1221', '1216', '4121', '3580', '884', '4324', '4353', '1421', '647', '2503', '1977', '656', '2363', '4876', '831', '1799', '4837', '2039', '4561', '2717', '4817', '102', '794', '4469', '344', '3839', '1881', '3656', '994', '2014', '2193', '5015', '1133', '4076', '4671', '3168', '3602', '4126', '4523', '4021', '1113', '2758', '1043', '2505', '3346', '4778', '5239', '4411', '4412', '3576', '5034', '1852', '683', '5134', '4800', '5169', '1721', '3045', '499', '407', '2851', '5242', '3109', '2015', '2326', '1675', '4350', '1883', '786', '5029', '50', '2343', '4160', '2415', '4538', '4628', '394', '622', '1383', '1022', '5138', '2389', '2364', '3664', '4715', '1997', '1591', '3913', '1768', '4927', '2219', '5047', '4511', '1908', '2162', '965', '3772', '5203', '2558', '3088', '3917', '2586', '5214', '766', '3357', '1873', '4282', '4860', '3809', '2429', '5056', '3158', '2512', '1786', '433', '3036', '2907', '3505', '862', '4445', '1419', '3355', '1482', '2953', '2212', '2594', '673', '1583', '830', '2446', '1333', '1172', '1436', '669', '4081', '4315', '4408', '4036', '4826', '2263', '4656', '1252', '2862', '3280', '703', '3979', '1866', '806', '1911', '4169', '2766', '4027', '4031', '572', '294', '1947', '519', '709', '1924', '488', '4568', '2339', '4585', '4998', '3311', '1713', '777', '3334', '4325', '418', '5008', '1886', '1599', '434', '526', '2291', '3680', '1372', '1151', '3641', '558', '73', '4797', '106', '570', '4193', '642', '3802', '2744', '5092', '2354', '3111', '501', '578', '2003', '2970', '3740', '1454', '2555', '2209', '5357', '1332', '2040', '4712', '5233', '2125', '3291', '844', '3793', '483', '747', '2753', '2098', '4975', '461', '141', '1999', '1809', '3542', '1429', '2190', '1131', '5165', '3169', '3112', '5027', '2167', '4111', '3372', '2252', '4323', '4452', '879', '3783', '557', '4420', '986', '4779', '1021', '527', '4892', '1960', '4856', '3412', '4943', '1549', '5354', '1604', '1995', '3221', '449', '817', '4906', '1447', '652', '1789', '287', '855', '3093', '3420', '4255', '2530', '3864', '1961', '278', '2583', '715', '3912', '1329', '3987', '4154', '4891', '3268', '3908', '1993', '2821', '1234', '223', '3791', '3621', '4386', '1029', '2837', '2759', '1644', '712', '1845', '4550', '421', '4664', '2527', '41', '4141', '832', '1860', '5175', '894', '3404', '3037', '1990', '3341', '4921', '2134', '983', '1979', '4092', '4635', '1023', '2311', '359', '2444', '4974', '3422', '583', '4614', '163', '251', '505', '4508', '395', '259', '2513', '4783', '5122', '1439', '5333', '3003', '2316', '4960', '146', '4201', '3400', '5141', '1733', '479', '772', '3141', '45', '5185', '1346', '3125', '1465', '4090', '2271', '4192', '2154', '3368', '1588', '3818', '2672', '1602', '4988', '4383', '2754', '2217', '780', '2635', '3744', '3171', '2951', '5113', '787', '3286', '2514', '3584', '4771', '1719', '2657', '4665', '4285', '1229', '2976', '164', '415', '2050', '2793', '720', '5247', '546', '4708', '3963', '4233', '4171', '3489', '3762', '4163', '2518', '874', '4819', '4829', '2969', '5091', '3741', '1078', '1304', '4359', '3082', '3148', '5040', '4620', '2080', '625', '4942', '4758', '4535', '1793', '3647', '2767', '2560', '1846', '1108', '1867', '2568', '565', '4191', '2546', '2091', '1656', '5310', '4053', '1301', '4041', '470', '4640', '4652', '922', '3582', '2712', '348', '5097', '5248', '1500', '1694', '456', '3220', '4390', '1659', '1765', '2805', '2477', '1485', '3773', '318', '1101', '3084', '1049', '1773', '2413', '2163', '168', '3506', '52', '1533', '2029', '2319', '1543', '1127', '1315', '2259', '1561', '714', '1348', '3401', '4753', '1601', '1191', '3543', '4908', '585', '1156', '1928', '2622', '2931', '5173', '2157', '3079', '4774', '3136', '322', '627', '2470', '1855', '1239', '203', '1427', '4332', '4427', '3383', '584', '4088', '72', '1748', '1876', '4698', '4014', '363', '4015', '4286', '1949', '2493', '2952', '2018', '5209', '1184', '3421', '4199', '941', '3180', '3538', '4709', '2544', '5283', '1552', '1628', '2751', '3490', '1702', '1888', '2729', '2938', '2533', '239', '3943', '2104', '1394', '4361', '1696', '1178', '3094', '1481', '315', '4972', '68', '654', '5051', '263', '944', '4922', '1364', '4482', '2394', '4251', '893', '4291', '3709', '4321', '2972', '4775', '4403', '2863', '3757', '2071', '2409', '4220', '4762', '1250', '2258', '4836', '2492', '4827', '5130', '1393', '160', '1889', '2611', '408', '854', '1150', '5184', '4186', '4129', '3077', '5304', '2094', '2225', '438', '1857', '3298', '2313', '162', '2416', '2898', '2143', '4670', '4167', '3211', '2194', '330', '2900', '4503', '3925', '3258', '432', '4448', '3993', '4405', '1079', '3469', '2317', '4460', '2587', '3883', '1927', '4239', '2954', '4381', '4814', '2610', '1339', '2350', '445', '3300', '4880', '3907', '2215', '2019', '771', '2730', '4471', '138', '335', '5293', '812', '984', '1044', '21', '1467', '245', '928', '704', '2187', '4575', '3000', '4415', '2297', '2820', '3194', '2801', '1571', '4645', '4923', '2832', '405', '3473', '1041', '4884', '4477', '1457', '1478', '1518', '2166', '5269', '2867', '1851', '4553', '5149', '3321', '5201', '1614', '2127', '3679', '266', '3498', '845', '1589', '4505', '2469', '4934', '2843', '2181', '1820', '3409', '3418', '2421', '3631', '1242', '548', '590', '4530', '15', '4702', '1980', '3004', '4447', '5294', '2425', '3556', '1930', '2359', '2974', '4270', '979', '619', '805', '951', '4272', '2582', '1527', '3821', '3074', '626', '5133', '1988', '524', '3251', '3232', '4203', '2484', '1972', '2694', '4311', '1260', '3103', '218', '2304', '4419', '1373', '2645', '1402', '2270', '931', '1491', '35', '2159', '1296', '1958', '3367', '2241', '3437', '1455', '1111', '2000', '5071', '1801', '1632', '837', '4761', '522', '4176', '4987', '1565', '2004', '3097', '1831', '1084', '1712', '2542', '4560', '2884', '5307', '4704', '2703', '4992', '4009', '67', '1153', '4528', '3738', '5365', '708', '4439', '2929', '4354', '5161', '3669', '3615', '4161', '4711', '4831', '1196', '1683', '333', '2651', '503', '667', '4293', '3674', '1487', '2877', '85', '5072', '2614', '301', '5107', '3496', '3330', '666', '2055', '2085', '4256', '4153', '4834', '3026', '3475', '4226', '4308', '2567', '1629', '1471', '100', '1076', '541', '4710', '196', '5009', '1003', '2314', '3349', '5121', '4720', '4878', '3991', '3120', '3295', '3213', '4966', '4495', '2631', '1736', '5068', '2455', '3753', '2963', '895', '4005', '3571', '4373', '1762', '4790', '3779', '367', '4228', '5082', '3941', '4268', '1053', '1477', '4087', '4995', '1355', '3554', '534', '1020', '5358', '1461', '339', '340', '2243', '1320', '5059', '2342', '2430', '1757', '1749', '4564', '1948', '2604', '3427', '2118', '2677', '3564', '3767', '4433', '591', '2121', '2920', '4887', '1495', '252', '2626', '4686', '3569', '4245', '2876', '4569', '4034', '2348', '113', '3911', '507', '1291', '4691', '4654', '3210', '125', '829', '2099', '248', '4194', '3294', '1554', '3365', '3715', '1803', '4602', '1541', '3544', '5235', '1090', '3774', '1278', '4689', '5265', '1717', '1941', '2731', '1657', '3423', '849', '1238', '3078', '723', '3675', '1648', '2441', '1418', '4805', '1231', '3360', '2476', '5137', '2023', '4806', '2483', '4011', '176', '1968', '4627', '1000', '228', '3828', '914', '3207', '4864', '569', '1118', '3532', '4006', '2739', '1214', '2989', '4578', '3852', '5258', '4728', '1312', '1416', '2880', '3184', '607', '2395', '4976', '4964', '3388', '2426', '2709', '4345', '338', '560', '213', '2656', '1199', '869', '4103', '4055', '4687', '4322', '2183', '926', '3899', '3167', '3830', '5311', '1294', '3949', '5370', '3260', '1887', '1730', '1103', '1154', '1330', '4980', '2945', '2114', '4416', '2457', '2895', '5341', '123', '1144', '4172', '2269', '4395', '1413', '4989', '847', '2301', '1295', '1246', '3614', '5274', '1311', '573', '551', '5012', '262', '3302', '4983', '4619', '271', '2016', '1842', '5206', '4116', '2545', '4644', '2281', '1042', '1181', '29', '5020', '4554', '2008', '4611', '4990', '3482', '3222', '2052', '3800', '5013', '130', '3430', '4719', '1838', '3450', '785', '2864'}))"
munich_stops,5069
munich_stop_times,575219
munich_trips,32840
munich_routes,467
osm_nodes,14036
osm_edges,36326
mean_degree_centrality,0.00021358889548916051
mean_gtfs_stop_count,0.3611427757195782
mean_node_degree,2.9977201481903677
